Id,MS Zoning,Lot Area,Lot Shape,Neighborhood,Bldg Type,House Style,Mas Vnr Type,Exter Qual,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Kitchen AbvGr,Kitchen Qual,Garage Finish,Garage Cars,Garage Area,Paved Drive,has_alley,has_fence,has_fireplace,Total Bsmt Bath,total_baths,on_cds,Overall Goodness
13,818,RL,7976,Reg,SawyerW,Duplex,2Story,BrkFace,2,5,1,1168,4,1,1168,2787,2,2,3,4,820,1,0,0,1,2,6,0,35
14,2673,RL,11737,IR1,BrkSide,1Fam,2Story,None,2,3,1,848,2,0,1017,1827,1,2,1,1,240,1,0,1,1,0,1,0,42
15,2089,RL,9060,Reg,Edwards,1Fam,1Story,BrkFace,2,0,0,0,4,1,1340,1340,1,2,2,1,252,1,0,1,1,0,1,0,30
16,1297,RM,10800,Reg,OldTown,2fmCon,1.5Fin,None,2,3,1,884,2,1,884,1436,2,2,1,2,828,1,1,0,1,0,2,0,36
17,790,RL,9571,Reg,Edwards,1Fam,1Story,None,2,3,1,1073,2,1,1073,1073,1,2,1,1,340,1,0,1,0,1,1,0,25
18,2616,RL,10800,Reg,NAmes,1Fam,1Story,BrkFace,2,3,1,1313,2,1,1773,1773,1,2,2,2,418,1,0,0,1,1,2,0,36
19,720,RM,17671,Reg,OldTown,1Fam,2Story,None,3,3,1,916,3,1,916,1742,1,3,1,2,424,0,1,0,1,0,2,0,72
20,222,RL,8246,IR1,Sawyer,1Fam,1Story,None,2,3,2,1060,4,1,1060,1060,1,3,1,1,270,1,0,1,1,1,1,0,40
21,557,RL,8499,IR1,Sawyer,1Fam,1Story,None,2,3,1,864,4,1,864,864,1,2,1,2,732,1,0,0,0,1,1,0,30
22,1148,RL,8012,Reg,SawyerW,TwnhsE,1Story,None,3,4,1,1604,4,1,1617,1617,1,3,2,2,533,1,0,0,1,1,2,0,30
23,2766,RL,21453,IR1,ClearCr,1Fam,SLvl,None,2,3,4,938,4,1,988,988,1,2,1,2,540,1,0,0,1,1,1,1,30
24,534,RL,9605,Reg,SawyerW,1Fam,1Story,None,3,4,1,1218,4,1,1218,1218,1,3,2,2,576,1,0,0,0,0,2,0,42
25,1452,RL,7180,IR1,CollgCr,1Fam,1Story,None,2,3,3,864,2,1,864,864,1,2,1,1,352,1,0,0,0,0,1,0,35
26,630,RL,12513,IR1,NAmes,1Fam,1.5Fin,None,2,3,1,715,3,1,1281,1738,1,2,1,1,368,1,0,0,1,0,2,0,16
27,2648,RM,9000,Reg,OldTown,1Fam,2Story,None,2,2,1,636,2,1,1089,1750,1,4,1,1,240,0,1,1,0,0,1,0,30
28,125,RL,8800,Reg,NAmes,1Fam,SFoyer,BrkFace,2,3,4,936,4,1,1054,1054,1,3,2,2,480,1,0,1,0,1,1,0,42
29,1904,RL,3500,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,370,2,0,442,670,1,1,0,0,0,0,0,1,0,1,1,0,15
30,1670,RL,7340,IR1,NAmes,1Fam,1Story,None,2,3,1,858,2,1,858,858,1,2,1,1,684,1,0,0,0,0,1,0,24
31,756,RM,6240,Reg,IDOTRR,1Fam,1.5Fin,None,2,3,1,780,2,1,848,1208,1,2,1,2,539,1,1,0,0,0,1,0,20
32,717,RM,11700,IR1,OldTown,1Fam,2Story,None,3,3,1,1240,2,0,1320,2640,1,3,1,4,864,0,1,0,1,0,2,0,49
33,1032,RL,10000,Reg,NWAmes,1Fam,1Story,None,2,4,1,1176,3,1,1178,1178,1,3,1,2,439,1,0,1,1,1,2,0,30
34,852,RL,11166,Reg,CollgCr,1Fam,1Story,BrkFace,3,4,2,1492,4,1,1492,1492,1,3,2,2,608,1,0,0,1,0,2,0,35
35,1731,RL,13204,IR1,Gilbert,1Fam,2Story,Stone,2,4,1,608,4,1,608,1458,1,3,3,2,454,1,0,0,0,0,2,0,35
36,2639,RM,5520,Reg,OldTown,1Fam,1.5Fin,None,2,3,1,1147,2,0,1147,1657,1,1,1,1,162,0,0,0,1,0,1,0,24
37,2071,RL,9000,Reg,Sawyer,1Fam,1Story,None,1,0,0,0,2,0,998,998,1,2,1,2,460,1,0,0,0,0,1,0,28
38,1267,RL,8892,Reg,NAmes,1Fam,1Story,None,3,3,3,105,3,1,910,910,1,3,1,2,414,1,0,1,0,0,1,0,35
39,1851,FV,7321,IR1,Somerst,1Fam,1Story,None,3,4,1,1339,4,1,1358,1358,1,3,1,2,625,1,1,0,0,0,2,0,35
40,567,FV,3951,Reg,Somerst,TwnhsE,2Story,Stone,3,4,3,612,4,1,612,1224,1,3,2,2,528,1,1,0,0,0,3,0,30
41,2439,RL,11214,IR1,Gilbert,1Fam,2Story,None,3,4,1,930,3,1,956,1886,1,3,3,2,431,1,0,0,1,0,3,0,35
42,1898,RL,7388,Reg,NAmes,1Fam,1Story,None,2,3,1,1063,3,1,1327,1327,1,3,1,2,624,1,0,0,0,1,1,0,30
43,647,RL,14559,Reg,NAmes,1Fam,1Story,BrkCmn,3,3,1,1008,4,1,1363,1363,1,2,1,1,288,1,0,0,1,1,1,0,35
44,2256,RL,4054,IR1,Timber,TwnhsE,1Story,BrkFace,3,4,3,1501,4,1,1501,1501,1,3,3,2,512,1,0,0,1,1,2,0,42
45,979,RM,1533,Reg,MeadowV,Twnhs,2Story,None,2,3,1,546,2,1,798,1344,1,2,0,0,0,1,0,0,1,0,2,0,24
46,1444,RL,11250,IR1,CollgCr,1Fam,2Story,BrkFace,3,4,2,920,4,1,920,1786,1,3,2,2,608,1,0,0,1,1,3,0,35
47,2485,RH,7800,Reg,SawyerW,1Fam,1Story,None,2,3,1,828,3,1,965,965,1,2,1,1,300,1,0,1,0,1,1,0,25
48,157,RL,5868,Reg,NAmes,1Fam,1Story,None,2,3,1,936,4,1,936,936,1,2,3,1,308,1,0,0,0,1,1,0,35
49,88,RL,7500,Reg,Sawyer,1Fam,1Story,None,2,3,1,1040,1,1,1040,1040,1,2,3,1,308,1,0,1,0,1,2,0,25
50,2003,RM,9439,Reg,OldTown,1Fam,1.5Fin,None,2,3,1,912,3,1,912,1248,1,2,1,1,160,1,0,0,0,0,1,0,25
51,186,RM,9000,Reg,OldTown,1Fam,2Story,None,3,2,1,346,4,1,1157,2268,1,3,1,2,624,0,1,0,0,0,3,0,72
52,1425,RL,9345,IR1,CollgCr,1Fam,1Story,Stone,3,4,3,1615,4,1,1615,1615,1,3,2,3,864,1,0,0,1,0,2,0,40
53,2695,RM,7200,Reg,IDOTRR,1Fam,1.5Fin,None,2,3,1,803,4,1,803,1360,1,3,1,1,297,1,0,1,0,0,2,0,30
54,738,RM,6000,Reg,BrkSide,1Fam,1.5Fin,BrkFace,2,3,1,468,3,1,822,1142,1,2,3,1,320,1,0,0,0,0,1,0,25
55,395,RL,7930,Reg,NAmes,1Fam,1Story,None,2,3,1,1026,3,1,1026,1026,1,3,2,2,440,1,0,0,0,1,1,0,48
56,1353,RL,9120,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,1026,4,1,1133,1820,1,2,1,1,240,0,1,1,0,1,2,0,42
57,1878,RL,9503,Reg,NAmes,1Fam,1Story,None,2,3,1,1024,2,1,1344,1344,1,2,1,1,484,1,0,1,1,1,1,0,25
58,390,RL,11050,IR1,NWAmes,1Fam,1Story,None,2,3,1,1176,1,1,1193,1193,1,2,1,2,506,1,0,0,1,0,2,0,35
59,1456,RL,10316,IR1,CollgCr,1Fam,2Story,None,3,4,1,992,4,1,992,1865,1,3,2,3,839,1,0,0,1,1,3,0,35
60,1103,RL,11675,IR1,NoRidge,1Fam,1Story,BrkFace,3,4,3,1982,4,1,2006,2006,1,3,3,3,938,1,0,0,1,1,2,0,40
61,1387,RL,12900,Reg,Sawyer,2fmCon,1Story,None,2,3,1,1300,1,1,1140,1140,1,2,1,2,400,1,0,0,0,1,1,0,20
62,2070,RL,13770,Reg,Sawyer,1Fam,1Story,BrkFace,2,3,2,1158,2,1,1176,1176,1,2,1,1,303,1,0,0,1,1,1,0,30
63,1199,RL,13355,IR1,NWAmes,1Fam,2Story,None,2,4,1,825,2,1,845,1670,1,2,3,2,464,1,0,0,0,0,2,0,42
64,2479,RL,7153,Reg,SawyerW,1Fam,2Story,None,3,4,1,761,4,1,810,1603,1,3,2,2,484,1,0,0,0,0,3,0,30
65,501,RL,10750,IR1,NoRidge,1Fam,1Story,BrkFace,3,4,3,2024,4,1,2063,2063,1,3,3,3,815,1,0,0,1,1,2,1,40
66,2362,RL,8125,IR1,NAmes,1Fam,1Story,None,2,3,1,858,2,1,858,858,1,2,0,0,0,1,0,0,0,0,1,0,16
67,1718,RL,3903,Reg,NridgHt,Twnhs,1Story,Stone,3,4,3,1302,4,1,1302,1302,1,3,2,2,631,1,0,0,1,1,2,0,30
68,2188,RH,4270,Reg,Edwards,1Fam,1Story,None,2,3,1,544,4,1,774,774,1,3,0,0,0,1,0,0,0,0,1,0,18
69,1483,RM,4426,Reg,CollgCr,TwnhsE,1Story,BrkFace,3,4,4,848,4,1,848,848,1,3,2,2,420,1,0,0,1,1,1,0,30
70,2557,RL,5825,IR1,BrkSide,1Fam,1Story,BrkFace,2,2,2,600,3,1,747,747,1,2,1,2,528,1,0,0,0,0,1,0,20
71,437,RL,23303,IR3,NridgHt,1Fam,2Story,Stone,3,5,3,1508,4,1,1508,2520,1,4,3,3,640,1,0,0,1,1,3,1,40
72,2224,RL,25485,IR1,Crawfor,1Fam,1Story,BrkFace,2,3,2,1560,2,1,1560,1560,1,2,2,2,580,1,0,0,1,0,2,1,24
73,1628,RL,10784,IR1,Gilbert,1Fam,SLvl,BrkFace,3,4,1,384,3,1,802,1472,1,3,2,2,402,1,0,0,1,0,3,0,35
74,397,RL,8510,IR1,NAmes,1Fam,1Story,BrkFace,2,4,1,1043,4,1,1050,1050,1,2,1,1,336,1,0,0,0,1,2,0,35
75,587,RL,17871,IR1,NWAmes,1Fam,SLvl,BrkFace,2,4,3,1680,1,1,1724,1724,1,2,2,2,480,1,0,0,1,1,2,1,30
76,971,RL,21750,Reg,Mitchel,1Fam,1Story,BrkFace,2,0,0,0,2,1,1771,1771,1,2,1,2,336,1,0,1,1,0,1,0,20
77,2611,RL,9510,Reg,NAmes,1Fam,1Story,BrkCmn,2,3,1,1135,4,1,1207,1207,1,2,2,1,264,1,0,0,0,0,2,0,30
78,1887,RL,8339,IR1,NAmes,1Fam,1Story,None,2,0,0,0,2,1,882,882,1,2,2,1,294,1,0,1,0,0,1,0,35
79,2399,RL,14828,IR1,NridgHt,1Fam,1Story,BrkFace,4,5,4,1780,4,1,1780,1780,1,4,3,3,816,1,0,0,1,1,2,0,45
80,2148,RL,8749,Reg,CollgCr,1Fam,1Story,BrkFace,3,4,1,1459,4,1,1459,1459,1,3,2,2,527,1,0,0,1,0,2,0,35
81,304,RM,9140,Reg,IDOTRR,1Fam,1.5Fin,None,2,3,2,629,1,1,727,1107,1,2,1,1,625,1,0,1,0,0,1,0,30
82,1997,RM,3600,Reg,OldTown,1Fam,2Story,None,2,3,1,687,3,1,687,1358,1,3,1,1,336,1,1,1,1,0,2,0,35
83,2817,RL,8777,Reg,Edwards,1Fam,2Story,None,2,4,1,676,3,1,760,1436,1,2,1,2,528,1,0,0,0,1,2,0,24
84,1431,RL,12798,IR1,ClearCr,1Fam,2Story,None,2,4,4,616,3,1,616,1688,1,3,2,2,603,1,0,0,0,1,3,0,30
85,427,RL,12704,Reg,NridgHt,1Fam,1Story,BrkFace,4,5,1,2042,4,1,2042,2042,1,4,2,3,1390,1,0,0,1,0,3,0,40
86,263,RL,7480,Reg,CollgCr,1Fam,1Story,None,2,3,3,876,2,1,876,876,1,2,1,2,484,1,0,1,0,1,1,0,30
87,598,RL,16500,Reg,NWAmes,1Fam,SFoyer,BrkFace,2,4,3,1232,1,1,1320,1320,1,2,2,2,495,1,0,0,1,1,2,0,30
88,2895,RL,16669,IR1,Timber,1Fam,1Story,BrkFace,3,4,1,1686,2,1,1707,1707,1,2,2,2,511,1,0,0,1,0,3,0,48
89,687,RL,8064,Reg,NAmes,1Fam,1.5Fin,None,2,3,1,864,2,1,1064,1495,1,2,1,2,576,1,0,0,0,0,1,0,42
90,1822,RL,7758,IR1,Sawyer,1Fam,1Story,None,2,3,1,999,3,1,999,999,1,3,1,1,264,1,0,0,0,1,1,0,35
91,2191,RL,11767,Reg,Edwards,1Fam,2Story,None,2,2,1,560,3,0,796,1346,1,2,1,1,384,1,0,1,0,0,2,0,28
92,179,RM,6900,Reg,OldTown,1Fam,1.5Fin,None,2,4,1,827,3,1,827,1251,1,1,1,1,240,0,0,0,0,0,1,0,42
93,1009,RL,4671,IR1,StoneBr,TwnhsE,1Story,None,3,4,2,1228,3,1,1228,1228,1,3,3,2,472,1,0,0,1,1,2,0,40
94,2010,RM,6125,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,728,4,1,728,1274,1,2,1,1,224,1,0,0,0,0,2,0,35
95,1991,RM,9863,Reg,OldTown,1Fam,2Story,None,2,3,1,728,2,1,914,1642,1,2,1,1,374,1,1,0,1,1,2,0,36
96,1411,RL,9571,Reg,Edwards,1Fam,1Story,None,2,3,3,1509,2,1,1509,1509,1,3,1,1,322,1,0,1,1,1,1,0,30
97,1721,RL,4590,Reg,NridgHt,Twnhs,1Story,Stone,3,4,2,1554,4,1,1554,1554,1,3,2,2,627,1,0,0,1,0,2,0,40
98,1144,RL,8450,Reg,SawyerW,1Fam,2Story,None,3,4,1,827,4,1,827,1677,1,3,2,2,627,1,0,0,0,1,3,0,30
99,593,RL,8400,Reg,NWAmes,1Fam,2Story,None,3,4,1,810,4,1,810,1665,1,3,3,2,528,1,0,0,0,1,3,0,48
100,575,RL,14694,IR1,Veenker,1Fam,1Story,BrkFace,4,4,4,1694,4,1,1694,1694,1,4,3,2,642,1,0,0,1,1,2,0,72
101,1249,RL,14250,Reg,NAmes,1Fam,1Story,BrkFace,2,3,1,998,2,1,1790,1790,1,2,3,2,540,1,0,0,1,0,2,0,30
102,1604,RL,6951,IR1,Mitchel,1Fam,1Story,None,2,3,1,876,2,1,923,923,1,2,1,1,264,1,0,1,0,1,1,1,25
103,1064,RL,12720,Reg,NridgHt,1Fam,1Story,Stone,4,5,4,2535,4,1,2470,2470,1,4,3,3,789,1,0,0,1,2,2,0,50
104,1923,RL,11988,IR1,NAmes,1Fam,1Story,None,2,3,1,1244,4,1,1244,1244,1,2,1,1,336,1,0,0,1,0,2,0,36
105,1988,RM,3880,Reg,OldTown,1Fam,1Story,None,2,3,1,686,3,1,866,866,1,3,0,0,0,1,0,0,0,0,1,0,45
106,2325,RL,7685,IR1,Gilbert,1Fam,2Story,BrkFace,2,4,1,697,3,1,697,1501,1,3,3,2,420,1,0,0,1,0,3,0,30
107,114,RL,18837,IR1,NWAmes,1Fam,1.5Fin,None,2,4,2,1224,2,1,1287,1891,1,2,2,2,678,1,0,0,1,1,3,0,30
108,2700,RL,11136,Reg,Sawyer,Duplex,1Story,None,2,3,1,1921,2,1,1921,1921,2,2,1,2,576,1,0,0,0,0,2,0,30
109,217,RL,10773,Reg,Sawyer,Duplex,1Story,BrkFace,1,3,1,1832,2,0,1832,1832,2,2,0,0,0,1,0,0,0,2,2,0,12
110,343,RL,10200,Reg,NAmes,1Fam,1Story,BrkFace,2,3,1,1434,2,1,1434,1434,1,2,2,2,528,1,0,0,1,1,2,0,30
111,386,FV,7500,Reg,Somerst,1Fam,2Story,None,3,4,1,1058,4,1,1058,1874,1,3,3,2,588,1,0,0,1,0,3,0,40
112,2005,RM,11800,Reg,OldTown,1Fam,SLvl,None,2,0,0,0,4,1,1382,1382,1,2,2,1,384,1,0,0,1,0,2,0,28
113,2908,RL,17217,Reg,Mitchel,1Fam,1Story,None,2,4,1,1140,4,1,1140,1140,1,2,0,0,0,1,0,0,0,0,1,0,25
114,1814,RL,16196,IR3,SawyerW,1Fam,1Story,None,3,4,4,1482,4,1,1494,1494,1,3,2,2,514,1,0,0,1,1,2,0,35
115,2446,RL,35760,IR1,NoRidge,1Fam,2Story,BrkFace,3,5,4,1930,4,1,1831,3627,1,3,3,3,807,1,0,0,1,1,4,1,50
116,208,RM,7630,Reg,OldTown,2fmCon,2Story,None,2,4,1,360,3,1,1032,1812,2,3,1,2,672,0,0,1,1,0,2,0,45
117,1679,RM,2016,Reg,BrDale,TwnhsE,2Story,BrkFace,2,3,1,630,2,1,630,1302,1,2,1,2,440,1,0,0,0,0,3,0,25
118,822,RL,10816,IR1,CollgCr,1Fam,1Story,Stone,4,5,4,1720,4,1,1720,1720,1,4,2,3,846,1,0,0,1,1,2,0,45
119,6,RL,9978,IR1,Gilbert,1Fam,2Story,BrkFace,2,3,1,926,4,1,926,1604,1,3,3,2,470,1,0,0,1,0,3,0,36
120,1781,RL,12291,IR1,Somerst,1Fam,1Story,BrkFace,4,5,3,1966,4,1,1966,1966,1,4,3,3,1092,1,0,0,1,1,2,0,50
121,2397,RL,11065,IR1,NridgHt,1Fam,2Story,Stone,3,4,2,1085,4,1,1120,1970,1,4,3,3,753,1,0,0,1,0,3,0,40
122,2340,RL,8147,Reg,StoneBr,TwnhsE,1Story,BrkFace,3,5,4,1714,4,1,1714,1714,1,3,3,2,517,1,0,0,1,1,2,0,45
123,1618,RL,13869,IR2,Gilbert,1Fam,2Story,None,2,4,3,794,3,1,794,1470,1,2,3,2,388,1,0,0,0,1,2,0,36
124,2843,RL,6204,Reg,SWISU,1Fam,2.5Fin,None,3,3,1,795,2,0,954,2230,1,2,1,1,440,1,0,0,0,1,1,0,20
125,1061,RL,12151,IR1,NridgHt,1Fam,2Story,BrkFace,3,5,3,1414,4,1,1414,2331,1,4,3,3,1003,1,0,0,1,1,3,0,45
126,2786,RL,9560,IR1,CollgCr,1Fam,1Story,None,2,3,2,864,4,1,864,864,1,2,2,1,288,1,0,0,0,0,1,0,35
127,1935,RL,8923,Reg,NAmes,1Fam,1Story,None,2,3,1,1008,3,1,1008,1008,1,3,1,1,240,1,0,0,0,1,1,0,35
128,1341,RM,5520,IR1,BrkSide,1Fam,1.5Fin,None,2,3,1,565,2,1,565,1216,1,2,2,1,355,1,0,1,1,1,1,0,35
129,521,FV,12606,IR1,Somerst,1Fam,1Story,Stone,3,4,3,1530,4,1,1530,1530,1,3,2,3,984,1,0,0,1,0,2,0,45
130,2136,RL,8660,IR1,CollgCr,1Fam,SLvl,BrkFace,2,4,3,1015,2,1,1025,1025,1,2,1,2,370,1,0,0,1,0,2,0,25
131,996,RL,9042,IR1,Gilbert,1Fam,2Story,None,2,4,4,943,3,1,943,1638,1,2,3,2,472,1,0,0,1,1,3,0,30
132,227,RL,11227,Reg,Sawyer,1Fam,2Story,None,2,3,1,720,4,1,720,1440,1,2,1,2,480,1,0,1,1,0,2,0,25
133,135,RL,11380,IR1,NAmes,1Fam,SFoyer,BrkFace,2,3,4,1080,3,1,1128,1128,1,3,1,1,315,1,0,0,1,1,1,0,48
134,1167,FV,2280,Reg,Somerst,Twnhs,2Story,Stone,2,4,1,744,3,1,757,1549,1,2,1,2,440,1,1,0,0,1,3,0,30
135,294,RL,10452,IR1,Crawfor,1Fam,1.5Fin,BrkFace,3,4,1,1528,4,1,1225,2133,1,2,1,1,312,1,0,0,1,1,2,0,42
136,1776,RL,9910,Reg,Somerst,1Fam,1Story,None,3,4,1,1369,4,1,1369,1369,1,3,1,2,605,1,0,0,0,0,2,0,42
137,540,RL,13072,Reg,SawyerW,1Fam,1Story,None,3,4,1,1114,4,1,1114,1114,1,3,1,2,576,1,0,0,0,0,2,0,35
138,1717,RL,3901,Reg,NridgHt,Twnhs,1Story,Stone,3,4,3,1302,4,1,1302,1302,1,3,2,2,631,1,0,0,1,1,2,0,30
139,2303,RL,11625,IR1,Mitchel,1Fam,1Story,None,2,4,1,816,2,1,816,816,1,2,3,1,264,1,0,1,0,1,1,0,35
140,116,RL,9360,Reg,NWAmes,1Fam,1Story,None,2,3,1,1161,2,1,1381,1381,1,3,2,2,676,1,0,0,1,1,2,0,42
141,127,RL,9717,Reg,NAmes,1Fam,1Story,None,2,3,2,1078,3,1,1078,1078,1,3,1,1,240,1,0,0,0,1,1,0,30
142,1371,RM,10320,Reg,IDOTRR,1Fam,1.5Fin,None,2,3,1,756,4,1,756,1469,1,2,1,1,216,1,1,1,0,0,1,0,42
143,1014,RL,31220,IR1,Gilbert,1Fam,1Story,None,2,3,1,1632,2,1,1474,1474,1,2,1,2,495,1,0,0,1,0,1,0,12
144,1507,RL,8050,Reg,Edwards,1Fam,1.5Fin,None,2,0,0,0,3,1,929,1137,1,2,0,0,0,1,0,0,0,0,2,0,40
145,702,RM,7596,Reg,OldTown,Duplex,2Story,BrkFace,2,3,1,960,3,1,960,1960,2,2,1,2,400,0,1,0,0,0,2,0,25
146,750,RM,8094,Reg,OldTown,1Fam,2Story,None,2,3,1,1048,3,1,1048,1768,1,2,1,2,576,1,1,0,0,0,2,0,36
147,261,RL,10900,IR1,CollgCr,1Fam,2Story,BrkFace,2,4,1,689,4,1,689,1392,1,2,3,1,299,1,0,1,0,0,2,0,42
148,1559,C (all),9000,Reg,IDOTRR,1Fam,2Story,None,2,2,2,592,4,1,432,864,1,1,1,1,216,0,0,0,0,0,2,0,24
149,577,RL,15417,Reg,Veenker,1Fam,1Story,None,3,4,2,1740,2,1,1740,1740,1,3,2,2,540,1,0,0,0,0,2,0,35
150,2812,RL,11645,IR1,CollgCr,1Fam,2Story,None,3,4,1,860,4,1,860,1720,1,3,2,2,565,1,0,0,0,0,3,0,35
151,2080,RL,10512,Reg,Edwards,1Fam,1.5Fin,None,2,3,1,988,4,1,988,1626,1,3,1,1,332,1,0,0,0,0,2,0,36
152,1368,RM,5586,IR1,OldTown,1Fam,1.5Fin,None,2,3,1,901,3,1,1088,1198,1,2,0,0,0,0,0,1,0,0,1,0,42
153,2376,RL,7838,Reg,NAmes,1Fam,SFoyer,None,2,3,3,864,2,1,900,900,1,2,2,1,288,1,0,1,1,1,1,0,25
154,659,RL,9022,Reg,OldTown,1Fam,1Story,None,3,3,1,768,4,1,792,792,1,3,1,1,240,0,0,0,0,0,1,0,40
155,1235,RL,7390,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1098,2,1,1098,1098,1,2,1,1,260,1,0,0,0,1,1,0,35
156,332,RM,1900,Reg,MeadowV,TwnhsE,2Story,None,2,3,1,546,4,1,546,1092,1,2,0,0,0,1,0,0,0,0,2,0,16
157,1917,RL,8760,Reg,NAmes,1Fam,1Story,None,2,3,1,936,2,1,936,936,1,3,2,1,315,1,0,0,0,1,1,0,42
158,2094,RL,13125,IR1,SawyerW,1Fam,2Story,None,3,5,2,1104,4,1,912,2127,1,3,2,3,833,1,0,1,1,1,3,0,35
159,1460,RL,9240,Reg,CollgCr,1Fam,2Story,BrkFace,3,4,1,1055,4,1,1055,2263,1,3,3,2,905,1,0,0,1,0,3,0,40
160,1471,RL,13125,Reg,CollgCr,1Fam,1Story,BrkFace,2,4,4,1478,4,1,1493,1493,1,3,3,2,508,1,0,0,1,1,2,0,30
161,1509,RL,11767,Reg,Edwards,1Fam,1.5Fin,None,2,3,1,768,4,1,768,1200,1,2,1,1,240,1,0,0,0,0,1,0,30
162,1922,RL,9250,Reg,NAmes,1Fam,1Story,None,2,3,1,1056,2,1,1056,1056,1,2,1,1,260,1,0,0,0,1,1,0,35
163,433,RL,13693,Reg,NridgHt,1Fam,1Story,Stone,4,5,4,2630,4,1,2674,2674,1,4,3,3,762,1,0,0,1,2,3,0,50
164,460,RL,6472,Reg,NridgHt,TwnhsE,1Story,BrkFace,4,5,1,1451,4,1,1456,1456,1,4,2,2,539,1,0,0,1,0,2,0,45
165,1116,RL,10206,Reg,Somerst,1Fam,1Story,Stone,2,4,1,1563,4,1,1563,1563,1,3,2,3,758,1,0,0,1,0,2,0,40
166,1137,RL,13695,Reg,SawyerW,1Fam,1Story,None,2,4,1,1114,4,1,1114,1114,1,3,1,2,576,1,0,0,0,1,1,0,30
167,53,RL,3203,Reg,Blmngtn,TwnhsE,1Story,BrkFace,3,4,3,1145,4,1,1145,1145,1,3,3,2,437,1,0,0,0,0,2,0,35
168,2354,FV,9512,IR1,Somerst,1Fam,2Story,None,3,4,1,960,4,1,960,2318,1,3,3,2,541,1,0,0,1,1,3,0,35
169,1475,RL,9750,Reg,CollgCr,1Fam,1Story,Stone,3,4,2,1445,4,1,1445,1445,1,3,1,2,470,1,0,0,0,0,2,0,35
170,1761,RL,15623,IR1,NoRidge,1Fam,2Story,None,3,5,3,2396,4,1,2411,4476,1,4,3,3,813,1,0,1,1,1,4,0,50
171,842,RL,8072,Reg,CollgCr,1Fam,1Story,None,2,4,1,990,4,1,990,990,1,2,1,2,480,1,0,0,0,1,1,0,25
172,2739,RL,11679,IR1,Edwards,1Fam,SLvl,Stone,2,3,4,1776,4,1,1560,1560,1,2,3,2,528,1,0,1,1,1,2,0,25
173,2509,FV,2544,Reg,Somerst,Twnhs,2Story,None,3,4,1,600,4,1,520,1223,1,3,2,2,480,1,1,0,0,0,3,0,35
174,1007,RL,10832,IR1,Gilbert,1Fam,2Story,None,3,4,1,712,4,1,1086,1895,1,3,3,2,409,1,0,0,1,0,3,0,35
175,2610,RL,9786,IR1,NAmes,1Fam,1.5Fin,None,2,3,1,912,2,1,1085,1734,1,3,2,2,440,1,0,1,1,0,2,0,42
