MS Zoning,Lot Area,Lot Shape,Neighborhood,Bldg Type,House Style,Mas Vnr Type,Exter Qual,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Kitchen AbvGr,Kitchen Qual,Garage Finish,Garage Cars,Garage Area,Paved Drive,SalePrice,has_alley,has_fence,has_fireplace,Total Bsmt Bath,total_baths,on_cds,Overall Goodness
22,RL,12867,IR1,NridgHt,1Fam,2Story,None,3,5,3,1209.0,4,1,1209,2253,1,4,3,2.0,575.0,1,344133,0,0,1,0.0,3,0,40
23,RL,7980,IR1,Gilbert,1Fam,1Story,None,2,4,1,1168.0,4,1,1187,1187,1,2,3,2.0,420.0,1,185000,0,1,0,1.0,2,0,42
24,RL,34650,Reg,Gilbert,2fmCon,1Story,None,2,3,2,1056.0,2,0,1056,1056,1,2,3,2.0,572.0,1,145000,0,0,0,1.0,1,0,25
25,RL,10573,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1453.0,4,1,1453,1453,1,2,2,2.0,530.0,1,187500,0,1,1,1.0,2,0,36
26,RL,8450,Reg,Sawyer,1Fam,1Story,None,2,3,1,894.0,4,1,894,894,1,2,1,1.0,336.0,1,138500,0,1,1,1.0,1,0,40
27,RL,11700,IR1,Crawfor,1Fam,1.5Fin,None,2,3,1,942.0,4,1,1265,1938,1,3,1,1.0,240.0,1,198000,1,0,1,0.0,2,0,30
29,RL,8064,Reg,NAmes,1Fam,1.5Fin,None,2,3,2,672.0,4,1,672,924,1,2,1,2.0,576.0,1,122900,0,1,1,0.0,1,0,35
30,RL,9600,Reg,NWAmes,1Fam,1Story,None,3,4,1,2524.0,2,1,2524,2524,1,3,3,2.0,542.0,1,278000,0,1,1,1.0,3,0,40
31,RL,11435,IR1,Crawfor,1Fam,2Story,None,2,4,1,792.0,1,1,792,1517,1,3,1,2.0,400.0,1,230000,0,0,1,0.0,1,0,56
32,RL,9549,IR1,Veenker,TwnhsE,1Story,None,3,4,3,1494.0,4,1,1494,1494,1,4,3,2.0,481.0,1,270000,0,0,1,1.0,2,1,40
33,RL,10950,Reg,NAmes,1Fam,1Story,None,2,3,1,948.0,2,1,948,948,1,2,1,2.0,410.0,0,125000,0,0,0,0.0,1,0,36
34,RL,10637,Reg,CollgCr,1Fam,1Story,Stone,3,5,4,1705.0,4,1,1718,1718,1,3,2,3.0,826.0,1,297000,0,0,1,1.0,2,0,40
35,RL,9000,IR1,NAmes,1Fam,1Story,BrkFace,2,4,4,160.0,1,1,1142,1142,1,2,2,1.0,384.0,1,113500,0,0,1,0.0,1,0,36
36,RM,2665,Reg,MeadowV,TwnhsE,2Story,None,2,3,1,757.0,4,1,925,1475,1,2,2,1.0,336.0,1,127000,0,0,1,0.0,2,0,30
37,RL,11751,IR1,NWAmes,1Fam,1Story,BrkFace,2,4,1,1844.0,4,1,1844,1844,1,2,2,2.0,546.0,1,190000,0,1,1,0.0,2,0,36
38,RL,9600,Reg,NWAmes,1Fam,1Story,BrkFace,2,3,1,1242.0,1,1,1242,1242,1,2,1,2.0,528.0,1,175500,0,0,1,0.0,2,0,42
39,RL,8428,IR2,CollgCr,1Fam,1Story,None,2,4,1,990.0,4,1,990,990,1,2,1,1.0,384.0,1,146000,0,0,0,1.0,1,0,35
40,RL,9937,Reg,Edwards,1Fam,1Story,None,3,3,1,1256.0,3,1,1256,1256,1,2,3,1.0,276.0,1,147500,0,0,0,1.0,2,0,30
41,RL,13891,Reg,NridgHt,1Fam,1Story,None,4,5,4,2076.0,4,1,2076,2076,1,4,3,3.0,850.0,1,465000,0,0,1,1.0,3,0,50
42,RL,9101,IR1,Mitchel,1Fam,SFoyer,BrkFace,2,4,3,1097.0,4,1,1110,1110,1,3,3,2.0,602.0,1,165500,0,0,1,1.0,1,0,30
43,RM,12150,Reg,OldTown,1Fam,1.5Fin,BrkFace,2,3,1,1050.0,4,0,1050,1795,1,2,1,1.0,352.0,1,131500,1,0,0,0.0,2,0,25
44,RL,11200,Reg,Sawyer,1Fam,1Story,None,2,3,1,1040.0,4,1,1040,1040,1,2,1,1.0,384.0,1,129500,0,0,0,1.0,1,0,25
45,RL,9670,IR1,Crawfor,1Fam,2Story,Stone,2,3,1,608.0,2,1,983,1873,1,2,3,2.0,786.0,1,257076,0,0,1,0.0,2,0,48
46,RL,10998,Reg,Edwards,1Fam,1.5Fin,None,2,3,1,984.0,4,1,984,1604,1,2,1,2.0,660.0,1,117000,1,0,0,0.0,2,0,25
47,RL,7200,Reg,Crawfor,1Fam,2Story,None,2,4,1,776.0,2,1,851,1502,1,2,2,1.0,270.0,0,149000,0,1,1,0.0,2,0,42
48,RL,9920,Reg,NAmes,1Fam,1Story,Stone,2,3,1,1056.0,2,1,1063,1063,1,2,2,1.0,280.0,1,128000,0,1,0,1.0,1,0,25
49,RL,2448,Reg,NridgHt,Twnhs,2Story,Stone,3,4,1,764.0,4,1,764,1626,1,3,2,2.0,474.0,1,155000,0,0,0,0.0,3,0,35
50,FV,2998,Reg,Somerst,TwnhsE,2Story,BrkFace,3,4,1,756.0,4,1,768,1524,1,3,1,2.0,440.0,1,166000,0,0,0,0.0,3,0,30
51,RL,7804,Reg,SWISU,1Fam,1.5Fin,None,2,3,1,1122.0,2,1,1328,1981,1,3,1,2.0,576.0,1,135000,0,1,1,1.0,2,0,12
52,RL,16692,IR1,NWAmes,1Fam,2Story,BrkFace,2,4,1,1392.0,2,1,1392,2784,1,3,2,2.0,564.0,1,250000,0,1,1,1.0,4,0,35
53,RM,1476,Reg,MeadowV,Twnhs,2Story,None,2,3,1,546.0,4,1,546,1092,1,2,0,0.0,0.0,1,76000,0,0,0,0.0,2,0,28
54,RL,10170,Reg,NAmes,1Fam,1Story,BrkFace,2,3,1,216.0,2,1,1575,1575,1,3,1,2.0,400.0,1,155000,0,0,1,0.0,2,0,36
55,RL,9364,Reg,Sawyer,1Fam,2Story,Stone,2,3,1,663.0,2,1,663,1352,1,2,3,1.0,299.0,1,158000,0,1,0,0.0,2,0,42
56,FV,2544,Reg,Somerst,Twnhs,2Story,None,3,4,1,600.0,4,1,600,1200,1,3,2,2.0,480.0,1,149500,1,0,0,1.0,3,0,35
57,RL,9888,Reg,NAmes,1Fam,1Story,None,2,3,1,936.0,2,1,936,936,1,2,1,1.0,240.0,1,121000,0,1,0,0.0,1,0,30
58,RL,7942,Reg,NAmes,1Fam,1Story,None,2,3,1,1040.0,2,1,1040,1040,1,2,3,1.0,293.0,1,136000,0,1,0,1.0,1,0,42
59,RL,15038,IR2,Gilbert,1Fam,2Story,None,2,4,1,916.0,3,1,916,1636,1,2,3,2.0,386.0,1,173000,0,0,1,0.0,3,0,30
60,RL,11764,IR1,NoRidge,1Fam,2Story,BrkFace,3,4,1,1152.0,4,1,1164,2270,1,3,3,3.0,671.0,1,290000,0,0,1,0.0,3,1,56
61,FV,9000,Reg,Somerst,1Fam,2Story,None,3,4,3,1184.0,4,1,1184,2610,1,4,3,2.0,550.0,1,303477,0,0,1,0.0,3,0,40
62,RL,20062,IR1,ClearCr,1Fam,1Story,None,3,4,4,1420.0,3,1,1483,1483,1,2,2,2.0,690.0,1,270000,0,0,1,1.0,2,0,49
63,RM,7308,Reg,OldTown,1Fam,1.5Fin,None,1,3,1,936.0,3,0,960,1740,1,4,1,1.0,225.0,0,122250,0,0,1,0.0,1,0,25
64,RL,8750,Reg,NAmes,1Fam,1Story,None,2,3,1,1382.0,3,1,1382,1382,1,3,1,1.0,350.0,1,153000,0,1,0,1.0,1,0,25
65,RL,8402,Reg,Mitchel,1Fam,1Story,None,2,4,1,1120.0,4,1,1120,1120,1,2,0,0.0,0.0,1,147000,0,0,0,0.0,1,0,25
66,RL,4000,Reg,Crawfor,1Fam,2Story,None,2,4,1,531.0,2,1,567,1098,1,2,1,1.0,216.0,1,148500,0,1,1,1.0,1,0,56
67,RM,3363,Reg,Edwards,TwnhsE,2Story,Stone,3,4,1,976.0,4,1,976,1708,1,3,1,2.0,380.0,1,130000,0,0,0,0.0,2,0,35
68,RL,13615,IR1,NridgHt,1Fam,1Story,Stone,4,5,4,1802.0,4,1,1802,1802,1,4,3,3.0,843.0,1,372000,0,0,1,0.0,3,0,45
69,RL,3013,Reg,Blmngtn,TwnhsE,1Story,BrkFace,3,4,4,1362.0,4,1,1506,1506,1,3,3,2.0,440.0,1,213490,0,0,1,0.0,2,0,35
70,RL,17485,IR2,Edwards,1Fam,1Story,Stone,3,4,4,1508.0,4,1,1508,1508,1,3,2,2.0,572.0,1,308030,0,0,1,1.0,1,0,35
71,RL,23730,IR2,Mitchel,1Fam,1Story,BrkFace,3,5,2,1840.0,4,1,2032,2032,1,3,3,3.0,786.0,1,300000,0,0,0,1.0,3,0,35
72,RL,8910,Reg,NAmes,1Fam,1Story,None,2,3,2,655.0,4,1,1194,1194,1,2,3,2.0,539.0,1,159500,0,0,1,1.0,1,0,36
73,RM,2522,Reg,Edwards,Twnhs,2Story,Stone,3,4,1,970.0,4,1,970,1709,1,3,1,2.0,380.0,1,137500,0,0,0,0.0,2,0,35
74,RL,8688,Reg,Somerst,1Fam,1Story,BrkFace,3,4,3,1616.0,4,1,1616,1616,1,3,2,3.0,834.0,1,232000,0,0,0,0.0,2,0,35
75,RM,6291,IR1,IDOTRR,1Fam,1Story,None,3,3,1,768.0,2,1,768,768,1,2,1,2.0,440.0,0,93850,0,0,0,0.0,1,0,36
76,RL,17529,Reg,Sawyer,1Fam,1Story,Stone,2,3,1,872.0,1,0,872,872,1,1,1,1.0,322.0,0,105000,0,0,1,0.0,1,0,25
77,RM,6324,IR1,BrkSide,1Fam,1Story,None,2,3,1,520.0,1,0,520,520,1,1,1,1.0,240.0,1,68500,0,0,0,0.0,1,0,24
78,RL,11600,Reg,NAmes,Duplex,2Story,BrkFace,2,3,1,1105.0,2,1,1105,2274,2,2,1,2.0,480.0,1,154300,0,0,0,0.0,2,0,25
79,RM,7288,Reg,IDOTRR,1Fam,1.5Fin,None,3,3,1,936.0,4,1,936,1601,1,2,0,0.0,0.0,0,129850,0,0,0,0.0,2,0,35
80,RM,4571,Reg,OldTown,1Fam,2Story,None,2,3,1,616.0,4,1,616,1232,1,2,1,2.0,480.0,1,114000,1,0,0,0.0,1,0,35
81,RL,17423,IR1,StoneBr,1Fam,1Story,Stone,4,5,1,2216.0,4,1,2234,2234,1,4,3,3.0,1166.0,1,501837,0,0,1,1.0,2,1,45
82,RM,12665,IR1,OldTown,1Fam,1.5Fin,None,2,3,2,876.0,3,1,876,1416,1,2,1,3.0,720.0,1,153900,1,0,1,0.0,2,0,40
83,RL,9000,Reg,NAmes,1Fam,1Story,None,2,3,1,864.0,3,1,864,864,1,2,1,2.0,576.0,1,130000,0,1,0,0.0,1,0,28
84,RM,4500,Reg,Mitchel,TwnhsE,1Story,BrkFace,2,5,1,1189.0,4,1,1189,1189,1,2,2,2.0,392.0,1,160500,0,0,0,1.0,2,0,30
85,RL,6373,Reg,NridgHt,TwnhsE,1Story,BrkFace,4,5,1,1666.0,4,1,1666,1666,1,3,2,2.0,575.0,1,310090,0,0,1,1.0,2,0,45
86,RL,10083,Reg,SawyerW,1Fam,1Story,None,3,4,1,1176.0,4,1,1200,1200,1,3,2,2.0,555.0,1,184900,0,0,0,1.0,2,0,35
87,RL,13300,Reg,NAmes,1Fam,1Story,None,2,4,1,928.0,2,1,928,928,1,2,1,1.0,252.0,1,132000,0,0,0,0.0,1,0,35
88,RL,9600,Reg,NWAmes,1Fam,1Story,BrkFace,2,4,2,1288.0,2,1,1336,1336,1,2,2,2.0,502.0,1,163000,0,0,1,1.0,2,0,25
89,FV,3215,Reg,Somerst,TwnhsE,2Story,BrkFace,3,4,3,600.0,4,1,600,1200,1,3,2,2.0,480.0,1,155000,1,0,0,0.0,3,0,35
90,RL,11104,IR1,NWAmes,1Fam,SLvl,None,2,3,3,1427.0,3,1,1427,1427,1,2,2,2.0,516.0,1,183000,0,0,0,1.0,2,0,36
91,RL,15295,IR3,CollgCr,1Fam,2Story,BrkFace,3,4,2,860.0,4,1,1212,1992,1,3,2,2.0,608.0,1,211000,0,0,1,1.0,3,0,35
92,RL,9109,Reg,SawyerW,1Fam,2Story,None,3,4,1,754.0,4,1,754,1540,1,3,2,2.0,495.0,1,184000,0,0,0,1.0,3,0,35
93,RL,7018,Reg,SawyerW,Duplex,1Story,None,2,0,0,0.0,2,1,1535,1535,2,2,1,2.0,400.0,1,118858,0,1,0,0.0,2,0,25
94,RL,14112,IR1,NAmes,1Fam,SLvl,BrkFace,2,3,3,1152.0,2,1,1152,1152,1,2,2,2.0,484.0,1,180500,0,0,1,1.0,1,0,35
95,FV,3523,IR1,Somerst,TwnhsE,1Story,Stone,3,4,1,1141.0,4,1,1151,1151,1,3,3,2.0,484.0,1,166000,1,0,0,1.0,2,0,40
96,RL,15312,Reg,Sawyer,1Fam,SLvl,BrkFace,2,3,3,1138.0,4,1,1138,1138,1,2,2,2.0,480.0,1,148000,0,1,1,1.0,1,0,30
97,RL,7450,IR1,NAmes,1Fam,1Story,None,2,3,1,894.0,3,1,1074,1074,1,3,1,2.0,396.0,1,124000,0,1,1,0.0,1,0,25
98,RL,7313,Reg,NridgHt,TwnhsE,1Story,BrkFace,4,5,1,1561.0,4,1,1561,1561,1,4,3,2.0,556.0,1,277500,0,0,1,1.0,2,0,45
99,RL,10019,IR1,NoRidge,1Fam,2Story,BrkFace,3,4,1,1342.0,4,1,1358,2726,1,3,2,3.0,725.0,1,350000,0,0,1,0.0,3,0,40
100,RL,15401,IR1,StoneBr,1Fam,1Story,BrkFace,4,5,4,1884.0,4,1,1884,1884,1,4,3,3.0,670.0,1,387000,0,0,1,1.0,2,1,45
101,RL,9098,IR1,Edwards,1Fam,1Story,None,2,3,2,528.0,4,1,605,605,1,2,0,0.0,0.0,0,86000,0,0,0,1.0,1,0,28
102,RL,16280,Reg,Veenker,1Fam,1Story,None,4,4,2,1426.0,4,1,1671,1671,1,4,2,2.0,550.0,1,290000,0,1,1,1.0,3,0,72
104,RL,12209,IR1,Mitchel,1Fam,2Story,None,2,5,1,804.0,4,1,804,1961,1,3,3,2.0,560.0,1,215000,0,0,1,1.0,3,1,30
105,RL,13110,IR1,NWAmes,2fmCon,1Story,BrkFace,2,4,1,1153.0,4,1,1193,1193,1,2,3,2.0,501.0,1,146500,0,1,0,1.0,2,0,30
106,FV,2651,Reg,Somerst,Twnhs,2Story,None,3,4,1,673.0,4,1,673,1382,1,3,1,2.0,490.0,1,165000,0,0,0,1.0,3,0,35
107,RM,8520,Reg,OldTown,1Fam,1.5Fin,None,2,3,1,714.0,2,0,1664,2526,1,3,1,1.0,216.0,1,136000,1,1,1,0.0,2,0,42
108,RL,39384,IR1,NAmes,1Fam,1Story,Stone,2,4,4,1705.0,4,1,1390,1390,1,4,1,2.0,550.0,1,252000,0,0,1,1.0,2,1,36
109,RL,2628,Reg,NridgHt,Twnhs,2Story,Stone,3,4,1,764.0,4,1,764,1626,1,3,2,2.0,474.0,1,175500,0,0,0,0.0,3,0,35
110,RM,6406,Reg,OldTown,1Fam,2Story,None,2,3,1,690.0,2,1,868,1558,1,2,1,2.0,400.0,1,150000,1,1,1,0.0,2,0,30
111,RL,12342,IR1,NAmes,1Fam,1Story,None,2,3,1,978.0,2,1,1422,1422,1,2,2,1.0,286.0,1,139900,0,1,1,0.0,1,0,25
112,RM,6240,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,1078.0,2,1,1128,1573,1,2,1,2.0,360.0,0,162900,0,0,1,0.0,2,0,35
113,RL,10000,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1116.0,2,1,1116,1116,1,2,1,2.0,440.0,1,160000,0,0,0,0.0,2,0,36
114,RL,9000,Reg,Sawyer,1Fam,1Story,None,2,0,0,0.0,1,0,660,660,1,1,0,0.0,0.0,0,63900,0,0,0,0.0,1,0,4
115,RL,11088,Reg,NWAmes,1Fam,1Story,BrkFace,2,3,1,1140.0,3,1,1707,1707,1,2,3,2.0,479.0,1,184000,0,0,1,0.0,2,0,30
116,RL,17755,Reg,Edwards,1Fam,1Story,BrkFace,2,3,1,1466.0,2,1,1466,1466,1,1,3,2.0,528.0,1,149900,0,0,1,0.0,2,0,20
117,FV,4765,IR1,Somerst,TwnhsE,1Story,BrkFace,3,4,3,1614.0,4,1,1638,1638,1,4,3,2.0,495.0,1,300000,0,0,1,1.0,2,0,45
118,RL,10532,Reg,ClearCr,1Fam,1Story,Stone,2,3,2,988.0,3,1,1721,1721,1,2,1,2.0,626.0,1,145000,0,0,1,1.0,2,0,15
119,RL,15426,IR1,CollgCr,1Fam,2Story,None,2,4,1,928.0,4,1,928,1764,1,3,2,2.0,470.0,1,231500,0,1,0,1.0,3,0,30
120,RL,13907,Reg,Edwards,1Fam,1Story,None,2,3,1,996.0,4,1,996,996,1,2,0,0.0,0.0,1,108000,0,0,1,1.0,1,0,30
121,RL,8750,Reg,NAmes,1Fam,1Story,None,2,3,1,1202.0,2,1,1202,1202,1,2,2,1.0,304.0,1,120000,0,1,0,1.0,1,0,25
122,RL,9945,IR1,Sawyer,1Fam,1Story,BrkFace,2,3,1,988.0,2,1,988,988,1,2,1,2.0,572.0,1,128500,0,0,0,1.0,1,0,25
123,RM,8960,Reg,OldTown,1Fam,1Story,None,2,3,1,1008.0,3,1,1028,1028,1,2,1,2.0,360.0,1,115000,1,0,1,0.0,1,0,30
124,RM,3500,Reg,OldTown,1Fam,1.5Fin,None,2,3,1,720.0,2,1,720,1284,1,2,1,1.0,240.0,1,110000,1,1,0,0.0,2,0,35
125,RL,24572,IR1,Veenker,1Fam,2Story,BrkFace,3,4,1,994.0,2,1,1599,2944,1,3,2,3.0,864.0,1,150000,0,0,1,0.0,4,1,27
126,RL,9056,IR1,Gilbert,1Fam,2Story,None,3,5,3,707.0,4,1,707,1414,1,3,3,2.0,403.0,1,178000,0,0,1,0.0,3,0,40
127,RL,12320,IR1,Crawfor,1Fam,2Story,None,2,3,1,637.0,4,1,959,1609,1,3,1,3.0,579.0,1,199500,0,1,1,0.0,2,0,49
128,RL,8238,IR1,Gilbert,1Fam,2Story,None,2,3,1,813.0,4,1,813,1525,1,2,3,2.0,400.0,1,183500,0,0,1,1.0,3,0,30
129,RM,6000,Reg,IDOTRR,1Fam,SLvl,None,1,4,2,624.0,4,1,1092,1656,1,2,1,1.0,288.0,1,126000,0,1,1,0.0,2,0,25
130,RL,2529,Reg,NPkVill,Twnhs,1Story,None,2,4,1,1055.0,1,1,1055,1055,1,2,1,2.0,440.0,1,148500,0,0,0,0.0,2,0,42
131,RL,10800,Reg,OldTown,1Fam,2Story,None,2,3,1,676.0,4,1,676,1352,1,3,1,2.0,720.0,1,149000,0,0,0,1.0,2,0,35
132,RL,2349,Reg,NPkVill,Twnhs,2Story,None,2,4,1,855.0,2,1,855,1456,1,2,1,2.0,440.0,1,137900,0,0,1,0.0,3,0,30
133,RL,10846,IR1,Veenker,TwnhsE,1Story,None,3,4,4,1719.0,4,1,1719,1719,1,3,3,2.0,473.0,1,324000,0,0,1,2.0,2,1,40
134,RL,5604,Reg,Edwards,1Fam,1Story,None,2,3,1,864.0,2,0,864,864,1,2,0,0.0,0.0,1,98000,0,0,0,1.0,1,0,30
135,RM,1680,Reg,BrDale,Twnhs,2Story,BrkFace,2,3,1,483.0,2,1,483,987,1,2,1,1.0,264.0,1,103400,0,0,0,1.0,2,0,30
136,RL,6342,Reg,Sawyer,1Fam,1.5Fin,None,2,3,1,780.0,3,0,780,1020,1,2,0,0.0,0.0,0,94000,0,0,0,0.0,1,0,40
137,RL,4590,Reg,NridgHt,Twnhs,1Story,Stone,3,4,2,1554.0,4,1,1554,1554,1,3,2,2.0,627.0,1,209500,0,0,1,0.0,2,0,40
138,RL,18062,IR1,StoneBr,1Fam,2Story,BrkFace,4,5,4,1528.0,4,1,1528,3390,1,4,3,3.0,758.0,1,545224,0,0,1,0.0,4,1,50
139,RM,12900,Reg,OldTown,1Fam,2Story,None,3,3,1,780.0,4,1,780,1560,1,3,0,0.0,0.0,0,159900,1,0,0,0.0,2,0,48
140,RL,19138,Reg,Gilbert,1Fam,1Story,None,2,3,1,864.0,4,1,864,864,1,2,1,2.0,400.0,1,141000,0,0,0,0.0,1,0,20
141,RL,8658,IR1,Gilbert,1Fam,2Story,None,2,4,1,982.0,4,1,1008,1889,1,2,3,2.0,431.0,1,215000,0,0,1,0.0,3,0,30
142,RL,6897,IR1,Sawyer,1Fam,1Story,None,2,3,1,1040.0,4,1,1040,1040,1,2,1,1.0,260.0,1,127000,0,0,0,1.0,2,0,40
143,RL,9525,Reg,Edwards,1Fam,1Story,None,2,3,3,1172.0,2,1,1172,1172,1,2,3,1.0,366.0,1,128000,0,0,0,1.0,1,0,35
144,FV,12853,IR1,Somerst,1Fam,1Story,None,3,5,1,1642.0,4,1,1418,1418,1,3,2,3.0,852.0,1,267916,1,0,1,1.0,2,0,40
145,RM,6240,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,884.0,2,1,959,1367,1,2,1,1.0,560.0,1,127500,0,0,1,0.0,1,0,36
146,RL,7301,Reg,Edwards,1Fam,SFoyer,BrkFace,3,0,0,0.0,4,1,495,1922,1,3,2,2.0,672.0,1,198500,0,0,1,0.0,3,0,35
147,RL,12090,IR1,NWAmes,1Fam,1Story,BrkFace,2,4,1,1422.0,2,1,1422,1422,1,3,3,2.0,576.0,1,175500,0,1,1,0.0,2,0,36
148,RL,8826,Reg,CollgCr,1Fam,2Story,BrkFace,3,4,1,985.0,4,1,985,1842,1,3,3,2.0,486.0,1,217500,0,0,1,1.0,3,0,35
149,RM,8094,Reg,OldTown,1Fam,1.5Fin,None,2,3,1,888.0,4,1,888,1962,1,2,1,2.0,572.0,1,149500,1,1,1,0.0,2,0,20
150,RL,10710,Reg,NAmes,1Fam,1Story,BrkFace,3,3,1,864.0,4,1,1120,1120,1,2,2,2.0,656.0,1,148800,0,0,1,1.0,1,0,35
151,RL,16056,IR1,StoneBr,1Fam,2Story,Stone,3,5,3,1992.0,4,1,1992,2868,1,4,3,3.0,716.0,1,556581,0,0,1,0.0,4,0,45
152,RL,8400,Reg,NAmes,1Fam,1Story,None,2,3,1,1478.0,3,1,1478,1478,1,2,2,2.0,442.0,1,156500,0,0,1,1.0,2,0,18
153,RL,11250,Reg,CollgCr,1Fam,2Story,None,3,4,3,930.0,4,1,950,1995,1,3,2,2.0,610.0,1,237000,0,0,1,1.0,3,0,35
154,RL,7535,IR1,NAmes,1Fam,1Story,None,2,3,1,912.0,1,1,912,912,1,2,3,1.0,297.0,1,120000,0,1,0,1.0,1,0,35
155,RL,12216,IR1,Gilbert,1Fam,1Story,None,2,4,3,1326.0,4,1,1326,1326,1,3,3,2.0,388.0,1,203000,0,0,0,1.0,2,0,30
156,RL,3701,IR1,StoneBr,TwnhsE,1Story,None,2,4,1,1191.0,2,1,1204,1204,1,2,2,2.0,461.0,1,130000,0,0,0,0.0,2,0,40
157,RL,9760,Reg,NAmes,1Fam,2Story,BrkFace,2,3,4,780.0,2,1,798,1611,1,2,2,2.0,442.0,1,167900,0,0,0,1.0,2,0,36
158,RL,9873,Reg,BrkSide,2fmCon,1Story,BrkFace,2,3,3,960.0,2,0,960,960,1,2,1,2.0,576.0,1,129000,0,0,0,1.0,1,0,20
159,RL,10011,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1070.0,2,1,1236,1236,1,3,1,1.0,447.0,1,134450,0,1,1,1.0,1,0,30
